dataset,covariate,estimate,p,p_bh_within_dataset,p_bh_global
C,TechnicalIssues,-9.495267924283004e-4,0.9854216956637474,0.9854216956637474,0.9854216956637474
C,competence_self,0.05226640666932859,0.6393371101589653,0.9854216956637474,0.9507708149533314
C,elo_midpoint,-5.420621314439525e-4,0.14782006564621358,0.739100328231068,0.4927335521540453
C,watch_frequency_level,0.01763869232396987,0.8968814899878392,0.9854216956637474,0.9854216956637474
C,watched_before,NA,0.4659595498760099,0.9854216956637474,0.9319190997520198
G,TechnicalIssues,0.0918908773638498,0.019277979879238915,0.09421031214422108,0.18842062428844217
G,competence_self,-0.024324577421921685,0.7737480606265525,0.7737480606265525,0.9671850757831907
G,elo_midpoint,-2.067051106227549e-4,0.46281565268059666,0.7713594211343278,0.9319190997520198
G,watch_frequency_level,-0.04455290766344916,0.6655395704673319,0.7737480606265525,0.9507708149533314
G,watched_before,NA,0.037684124857688434,0.09421031214422108,0.18842062428844217
