dataset,item_code,emmean,lower,upper,is_above_3_bh,is_above_4_bh
C,BattleEcoKills,4.350877192982453,4.09270063884574,4.609053747119166,TRUE,TRUE
C,IntroLayout,4.105263157894734,3.8470866037579623,4.363439712031505,TRUE,FALSE
C,StateAgeUp,4.105263157894734,3.847086603757975,4.363439712031492,TRUE,FALSE
C,StateMilTech,4.070175438596487,3.8119988844597823,4.328351992733191,TRUE,FALSE
C,BattleMilitary,4.035087719298243,3.776911165161491,4.293264273434995,TRUE,FALSE
C,BattleOverwhelm,3.982456140350874,3.724279586214141,4.240632694487608,TRUE,FALSE
C,EventScouting,3.9473684210526288,3.6891918669158983,4.205544975189358,TRUE,FALSE
C,BattleBreakIn,3.842105263157893,3.5839287090211784,4.100281817294606,TRUE,FALSE
C,IntroCivs,3.807017543859646,3.5488409897228745,4.065194097996417,TRUE,FALSE
C,Knowledge,3.6140350877192953,3.355858533582543,3.872211641856047,TRUE,FALSE
C,BattleDelay,3.596491228070172,3.3383146739334393,3.8546677822069046,TRUE,FALSE
C,EventUncommon,3.5087719298245577,3.250595375687822,3.7669484839612934,TRUE,FALSE
C,IntroEconomy,3.368421052631576,3.11024449849484,3.626597606768312,TRUE,FALSE
C,IntroPlayers,2.8596491228070144,2.6014725686702844,3.1178256769437445,FALSE,FALSE
C,Predictions,2.5102536213808855,2.2502525618424407,2.7702546809193302,FALSE,FALSE
G,InterestStrategy,4.642857142857143,4.373956184509217,4.911758101205069,TRUE,TRUE
G,PreferFullGames,4.339285714285714,4.070384755937789,4.60818667263364,TRUE,TRUE
G,Understanding,4.178571428571429,3.9096704702235026,4.447472386919355,TRUE,FALSE
G,InterestSkill,4.0181818181818185,3.746847317395781,4.2895163189678565,TRUE,FALSE
G,LimitedTime,3.581818181818182,3.3104836810321445,3.853152682604219,TRUE,FALSE
G,TechnicalIssues,3.3859649122807016,3.1194331715546486,3.652496653006754,TRUE,FALSE
G,SummaryOpinion,3.1754385964912277,2.9089068557651747,3.4419703372172807,FALSE,FALSE
G,InterestBattles,2.9122807017543857,2.6457489610283327,3.1788124424804387,FALSE,FALSE
